seq,ts,reason,actions,navMicro,cashMicro
1,1789833619325,"run #1 · strategy=rotate_to_discount · targets=SPACEX,FIGUREAI,ANDURIL,POLYMARKET · 4 fills · NAV 9988.02","[{\"action\":\"buy\",\"symbol\":\"SPACEX\",\"qtyMicro\":20512418,\"fillPxMicro\":121755632,\"notionalMicro\":2497502417,\"feeMicro\":2497502,\"totalCostMicro\":2499999919,\"qtyUnits\":20.512418,\"usd\":2497.502417},{\"action\":\"buy\",\"symbol\":\"FIGUREAI\",\"qtyMicro\":14134332,\"fillPxMicro\":176697588,\"notionalMicro\":2497502372,\"feeMicro\":2497502,\"totalCostMicro\":2499999874,\"qtyUnits\":14.134332,\"usd\":2497.502372},{\"action\":\"buy\",\"symbol\":\"ANDURIL\",\"qtyMicro\":16592380,\"fillPxMicro\":150521047,\"notionalMicro\":2497502409,\"feeMicro\":2497502,\"totalCostMicro\":2499999911,\"qtyUnits\":16.59238,\"usd\":2497.502409},{\"action\":\"buy\",\"symbol\":\"POLYMARKET\",\"qtyMicro\":17399060,\"fillPxMicro\":142968799,\"notionalMicro\":2487522711,\"feeMicro\":2487522,\"totalCostMicro\":2490010233,\"qtyUnits\":17.39906,\"usd\":2487.522711}]",9988024382,9990063
2,1789833619642,"run #2 · strategy=rotate_to_discount · targets=SPACEX,FIGUREAI,ANDURIL,POLYMARKET · 0 fills · NAV 9988.02","[]",9988024382,9990063
3,1789833619951,"run #3 · strategy=rotate_to_discount · targets=SPACEX,FIGUREAI,ANDURIL,POLYMARKET · 0 fills · NAV 9988.02","[]",9988024382,9990063
4,1789833620260,"run #4 · strategy=rotate_to_discount · targets=SPACEX,FIGUREAI,ANDURIL,POLYMARKET · 0 fills · NAV 9988.02","[]",9988024382,9990063
5,1789833620568,"run #5 · strategy=rotate_to_discount · targets=SPACEX,FIGUREAI,ANDURIL,POLYMARKET · 0 fills · NAV 9988.02","[]",9988024382,9990063
6,1789833620876,"run #6 · strategy=rotate_to_discount · targets=SPACEX,FIGUREAI,ANDURIL,POLYMARKET · 0 fills · NAV 9988.02","[]",9988024382,9990063
7,1789833640160,"run #7 · strategy=rotate_to_discount · targets=SPACEX,FIGUREAI,ANDURIL,POLYMARKET · 0 fills · NAV 9988.02","[]",9988024382,9990063
8,1789833700237,"run #8 · strategy=rotate_to_discount · targets=SPACEX,FIGUREAI,ANDURIL,POLYMARKET · 0 fills · NAV 9988.02","[]",9988024382,9990063
9,1789833760297,"run #9 · strategy=rotate_to_discount · targets=SPACEX,FIGUREAI,ANDURIL,POLYMARKET · 0 fills · NAV 9988.02","[]",9988024382,9990063
10,1789833820269,"run #10 · strategy=rotate_to_discount · targets=SPACEX,FIGUREAI,ANDURIL,POLYMARKET,ANTHROPIC · 5 fills · NAV 9983.27","[{\"action\":\"sell\",\"symbol\":\"SPACEX\",\"qtyMicro\":4122913,\"fillPxMicro\":121706939,\"notionalMicro\":501787120,\"feeMicro\":501787,\"realizedPnlMicro\":-702544,\"qtyUnits\":4.122913,\"usd\":501.78712},{\"action\":\"sell\",\"symbol\":\"FIGUREAI\",\"qtyMicro\":2840943,\"fillPxMicro\":176626923,\"notionalMicro\":501787020,\"feeMicro\":501787,\"realizedPnlMicro\":-702542,\"qtyUnits\":2.840943,\"usd\":501.78702},{\"action\":\"sell\",\"symbol\":\"ANDURIL\",\"qtyMicro\":3335001,\"fillPxMicro\":150460850,\"notionalMicro\":501787085,\"feeMicro\":501787,\"realizedPnlMicro\":-702544,\"qtyUnits\":3.335001,\"usd\":501.787085},{\"action\":\"sell\",\"symbol\":\"POLYMARKET\",\"qtyMicro\":3441511,\"fillPxMicro\":142913805,\"notionalMicro\":491839431,\"feeMicro\":491839,\"realizedPnlMicro\":-681102,\"qtyUnits\":3.441511,\"usd\":491.839431},{\"action\":\"buy\",\"symbol\":\"ANTHROPIC\",\"qtyMicro\":1967974,\"fillPxMicro\":1014046079,\"notionalMicro\":1995616318,\"feeMicro\":1995616,\"totalCostMicro\":1997611934,\"qtyUnits\":1.967974,\"usd\":1995.616318}]",9983270973,7581585
